Sex,Under 1,1-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44
0,Males,82,305,199,197,322,537,910,1239,1610,2045
1,Females,73,249,171,183,297,554,1341,2219,3085,4457
2,Males,0,0,1,4,10,7,17,30,67,139
3,Females,0,1,0,5,8,8,12,29,53,81
4,Males,0,0,0,0,0,0,1,1,1,2
5,Females,0,0,0,0,0,0,0,0,0,4
6,Males,0,0,0,0,0,0,0,1,6,12
7,Females,0,0,0,0,0,0,1,1,6,7
8,Males,0,0,0,0,1,2,6,9,15,32
9,Females,0,0,0,0,0,2,4,5,19,19
10,Males,0,0,0,0,1,1,0,0,2,5
11,Females,0,0,0,0,0,0,0,1,0,3
12,Males,0,0,0,0,0,0,0,1,3,12
13,Females,0,0,0,0,0,0,0,0,0,1
14,Males,0,0,0,0,1,0,1,1,2,3
15,Females,0,0,0,1,3,1,0,3,1,5
16,Males,0,0,0,0,0,0,1,1,7,13
17,Females,0,0,0,0,0,0,3,3,4,6
18,Males,0,0,1,2,3,3,4,5,8,9
19,Females,0,0,0,3,4,3,2,11,9,5
20,Males,0,0,0,0,1,0,0,1,5,1
21,Females,0,0,0,1,1,2,1,0,1,2
22,Males,0,0,0,0,0,0,1,3,12,36
23,Females,0,0,0,0,0,0,0,1,5,22
24,Males,0,0,0,0,0,0,0,2,0,1
25,Females,0,0,0,0,0,0,1,0,0,0
26,Males,0,0,0,2,3,1,3,5,3,5
27,Females,0,1,0,0,0,0,0,2,8,5
28,Males,0,0,0,0,0,0,0,0,1,7
29,Females,0,0,0,0,0,0,0,0,0,0
30,Males,0,0,0,0,0,0,0,0,2,0
31,Females,0,0,0,0,0,0,0,2,0,2
32,Males,0,0,0,0,0,0,0,0,0,1
33,Females,0,0,0,0,0,0,0,0,0,0
34,Males,0,0,0,0,0,4,7,10,18,34
35,Females,0,0,0,0,0,1,1,1,7,9
36,Males,0,0,0,0,0,2,4,12,17,41
37,Females,0,0,0,0,1,4,6,15,28,24
38,Males,0,0,0,1,0,1,4,6,8,15
39,Females,0,0,0,0,0,3,1,5,8,15
40,Males,0,0,0,3,3,5,48,122,209,236
41,Females,0,0,1,4,1,13,51,119,202,238
42,Males,0,0,0,3,2,4,34,74,133,136
43,Females,0,0,1,4,0,11,34,85,132,132
44,Males,0,0,0,0,1,1,1,6,12,12
45,Females,0,0,0,0,1,0,3,3,16,21
46,Males,0,0,0,0,0,0,13,42,64,88
47,Females,0,0,0,0,0,2,14,31,54,85
48,Males,0,0,0,0,0,0,2,5,9,21
49,Females,0,0,0,0,0,0,2,7,18,25
50,Males,3,12,1,1,1,2,3,10,27,35
51,Females,4,7,1,0,0,4,4,6,9,17
52,Males,0,0,0,0,0,0,0,1,0,6
53,Females,0,0,0,0,0,0,0,1,2,7
54,Males,0,0,1,0,0,1,0,3,2,5
55,Females,0,0,0,0,0,1,1,2,3,2
56,Males,0,0,0,0,1,2,5,5,14,41
57,Females,0,0,1,0,3,1,7,8,13,33
58,Males,0,0,0,0,0,0,1,0,1,3
59,Females,0,0,0,0,0,1,2,0,2,1
60,Males,0,1,0,0,1,0,2,2,7,4
61,Females,0,1,2,0,0,0,2,2,0,12
62,Males,0,1,0,0,0,0,0,1,1,0
63,Females,0,0,0,0,1,0,1,0,0,3
64,Males,0,0,0,0,0,1,0,1,8,15
65,Females,0,0,0,0,1,1,0,2,8,7
66,Males,0,1,1,0,4,0,13,19,38,90
67,Females,0,0,0,2,2,7,7,17,26,83
68,Males,0,0,0,0,0,0,0,0,0,0
69,Females,0,0,0,0,0,0,0,0,0,0
70,Males,0,1,1,0,4,0,13,19,38,90
71,Females,0,0,0,2,2,7,7,17,26,83
72,Males,1,0,0,0,0,0,0,6,3,8
73,Females,0,0,0,0,0,0,2,1,4,7
74,Males,2,3,2,0,1,4,0,4,5,0
75,Females,4,1,0,0,0,1,1,1,1,1
76,Males,0,0,0,0,0,0,0,0,0,0
77,Females,0,0,0,0,0,0,0,0,0,0
78,Males,0,0,6,19,9,10,5,8,11,1
79,Females,0,1,10,15,16,5,5,8,5,0
80,Males,0,1,2,4,3,9,5,3,5,7
81,Females,0,3,4,6,8,5,6,10,7,7
82,Males,0,0,0,3,10,41,88,149,189,217
83,Females,0,0,0,0,16,73,167,260,298,379
84,Males,1,2,0,1,7,33,110,281,542,898
85,Females,2,1,0,5,8,48,172,406,752,1131
86,Males,0,0,0,0,0,0,0,1,1,2
87,Females,0,0,0,0,0,1,3,1,1,4
88,Males,0,0,0,0,0,1,8,10,11,11
89,Females,0,0,0,0,0,0,3,1,1,2
90,Males,0,3,0,1,0,3,1,0,0,0
91,Females,4,4,2,1,0,1,2,2,0,1
92,Males,1,2,1,0,0,1,2,1,0,4
93,Females,1,1,2,1,2,2,1,2,1,9
94,Males,12,11,13,12,11,18,24,33,34,40
95,Females,3,9,8,7,12,15,21,22,25,24
96,Males,0,0,0,0,0,0,2,0,2,6
97,Females,0,0,0,0,0,26,201,601,1222,2171
98,Females,0,0,0,0,1,1,1,6,11,32
99,Females,1,2,0,0,0,0,1,2,3,7
100,Females,0,0,0,0,3,65,310,368,308,258
101,Females,0,0,0,0,1,2,12,41,76,107
102,Females,0,0,0,0,1,2,12,40,75,106
103,Females,0,0,0,0,0,0,0,1,1,1
104,Females,0,3,4,8,34,56,126,136,145,214
105,Females,0,3,4,8,34,56,126,135,140,203
106,Females,0,0,0,0,0,0,0,1,5,11
107,Females,0,0,0,0,0,4,3,3,7,3
108,Males,0,0,0,0,0,0,2,6,4,18
109,Males,0,0,0,0,1,0,0,1,8,69
110,Males,5,6,1,6,45,165,305,341,339,174
111,Males,0,1,0,0,0,0,1,3,2,2
112,Males,6,27,10,3,1,6,20,39,91,163
113,Females,5,29,16,7,3,2,15,33,49,82
114,Males,1,0,0,0,0,0,0,0,0,2
115,Females,0,0,0,0,0,0,0,0,0,1
116,Males,0,0,0,0,0,0,0,0,0,2
117,Females,0,0,0,0,0,0,0,0,1,0
118,Males,1,2,0,0,0,0,3,3,10,23
119,Females,0,1,0,0,0,0,0,3,9,11
120,Males,0,0,0,0,0,0,0,0,0,0
121,Females,0,0,0,0,0,0,0,0,0,0
122,Males,17,17,1,1,1,3,2,6,10,8
123,Females,16,16,3,0,0,1,4,5,8,13
124,Males,0,0,0,0,1,0,0,0,2,0
125,Females,0,0,1,0,0,0,0,0,0,2
126,Males,13,46,48,29,29,42,68,82,97,103
127,Females,6,45,39,34,24,30,54,58,61,66
128,Males,2,7,8,5,2,6,6,1,2,7
129,Females,2,5,7,5,2,1,5,3,2,1
130,Males,0,0,1,3,14,18,33,45,62,64
131,Females,0,2,1,5,35,82,137,213,236,210
132,Males,7,11,2,3,1,0,0,1,1,1
133,Females,6,17,1,0,2,5,3,4,3,4
134,Males,0,0,3,5,4,6,1,3,0,2
135,Females,0,0,1,1,0,1,3,0,3,3
136,Males,3,1,1,0,0,0,0,0,0,0
137,Females,5,4,0,0,1,0,0,0,0,0
138,Males,0,0,0,0,0,0,0,0,4,9
139,Females,0,0,0,0,0,0,0,3,1,6
140,Males,0,0,0,0,3,1,0,1,3,8
141,Females,0,0,0,0,0,0,1,3,5,8
142,Males,1,0,1,0,1,0,1,3,2,4
143,Females,0,0,1,0,0,1,3,2,2,2
144,Males,0,0,0,1,0,1,6,2,10,19
145,Females,0,0,1,0,1,1,0,7,16,13
146,Males,0,2,15,22,73,84,105,90,84,64
147,Females,0,0,2,24,69,79,79,74,53,36
148,Males,0,7,20,24,34,48,62,94,101,173
149,Females,1,6,7,11,13,20,41,71,79,117
150,Males,0,0,0,1,4,3,5,10,20,37
151,Females,0,1,0,0,0,0,3,11,16,34
152,Males,0,4,17,11,22,36,39,56,48,75
153,Females,0,4,7,8,9,13,24,38,31,49
154,Males,0,2,2,2,3,3,8,12,15,24
155,Females,0,0,0,2,2,0,5,8,11,14
156,Males,0,1,1,10,5,6,10,16,18,37
157,Females,1,1,0,1,2,7,9,14,21,20
158,Males,0,0,0,0,0,0,0,1,1,3
159,Females,0,0,0,0,0,0,0,0,0,0
160,Males,0,0,0,0,1,0,2,8,20,41
161,Females,0,0,0,0,0,0,0,7,16,26
162,Males,7,137,58,46,57,45,51,65,70,104
163,Females,15,90,55,47,37,30,34,53,46,72
164,Males,3,111,48,32,41,17,18,27,27,51
165,Females,7,74,49,31,22,6,9,8,13,20
166,Males,4,19,10,13,14,25,33,37,43,52
167,Females,5,15,6,16,15,21,24,43,33,49
168,Males,0,0,0,1,0,2,0,0,0,0
169,Females,0,0,0,0,0,1,0,1,0,1
170,Males,0,1,0,0,0,1,0,0,0,1
171,Females,2,0,0,0,0,0,1,1,0,0
172,Males,0,6,0,0,2,0,0,1,0,0
173,Females,1,1,0,0,0,2,0,0,0,2
174,Males,0,6,2,1,0,0,1,2,0,1
175,Females,0,1,1,0,0,0,0,1,1,1
176,Males,0,0,0,0,0,0,0,0,0,0
177,Females,0,0,0,0,0,0,0,0,0,0
178,Males,0,0,0,0,0,0,2,2,4,7
179,Females,0,0,0,0,0,0,0,1,3,5
180,Males,0,0,0,0,0,1,6,9,14,36
181,Females,0,0,0,0,0,1,6,12,19,25
182,Males,0,0,0,0,0,0,3,0,1,3
183,Females,0,0,0,0,1,0,0,0,1,1
184,Males,0,0,0,0,3,10,25,50,46,96
185,Females,0,0,0,0,4,24,72,102,128,151
186,Males,0,0,0,0,0,1,0,1,1,3
187,Females,0,0,0,0,0,3,16,48,114,296
188,Females,0,0,0,0,4,1469,8335,4890,2636,1481
189,Males,0,0,0,0,0,8,9,12,9,14
190,Females,0,1,0,0,2,8,33,66,81,101
191,Males,0,0,0,1,0,10,16,13,44,74
192,Females,0,0,0,0,3,3,7,10,13,13
193,Males,0,0,0,2,1,5,6,10,20,23
194,Females,0,0,0,0,3,7,17,31,68,120
195,Males,3,3,5,7,5,14,22,25,26,39
196,Females,1,0,5,7,10,13,16,28,35,31
197,Males,0,0,1,1,5,6,15,19,17,25
198,Females,0,0,0,3,9,17,15,23,25,31
199,Males,0,0,0,0,0,0,0,0,0,0
200,Females,0,0,0,0,0,0,0,0,0,0
201,Males,0,0,0,0,0,0,0,0,0,0
202,Females,0,0,0,0,0,1,0,0,1,0
203,Males,0,0,3,10,19,23,23,28,27,22
204,Females,0,0,0,10,19,36,38,51,51,33
205,Males,0,0,1,0,0,0,1,2,1,0
206,Females,1,0,1,0,0,0,0,1,2,4
207,Females,0,0,0,2,7,8,9,23,16,19
208,Males,1,0,1,1,2,3,4,10,5,6
209,Males,2,0,0,0,0,3,5,4,8,18
210,Females,0,0,0,0,2,1,1,2,4,2
211,Males,0,0,0,0,1,1,5,3,4,6
212,Females,0,0,0,1,1,0,3,8,14,9
213,Males,3,7,10,10,7,12,11,7,17,18
214,Females,3,4,8,10,10,7,10,21,6,9
215,Males,2,2,9,4,4,6,10,2,2,3
216,Females,1,4,3,3,4,7,3,8,9,6
217,Males,0,0,0,1,2,3,2,6,9,10
218,Females,0,0,0,0,0,2,0,2,0,5
219,Males,1,1,1,1,2,0,2,6,2,9
220,Females,0,0,0,1,0,1,4,4,7,10
221,Males,8,5,3,2,4,9,5,13,16,45
222,Females,0,0,1,0,1,12,19,17,27,34
223,Males,8,6,6,7,8,7,18,17,23,13
224,Females,3,6,4,4,14,22,38,43,44,40
225,Males,111,331,239,245,392,692,1210,1759,2448,3413
226,Females,84,265,193,229,399,2244,10155,8016,7141,8014
227,Males,83,307,199,198,329,570,1020,1520,2152,2943
228,Females,75,250,171,188,305,602,1513,2625,3837,5588
229,Males,3,38,49,27,57,60,112,161,313,539
230,Females,7,22,36,30,38,41,96,221,436,690
231,Males,0,0,0,0,0,0,0,5,9,34
232,Females,0,0,0,0,0,0,0,4,5,13
233,Males,0,0,0,0,0,0,0,0,0,0
234,Females,0,0,0,0,0,0,0,0,0,0
235,Males,0,0,0,0,0,0,0,0,1,0
236,Females,0,0,0,0,0,0,0,0,0,0
237,Males,0,0,0,0,0,0,0,1,1,8
238,Females,0,0,0,0,0,0,0,2,1,3
239,Males,0,0,0,0,0,0,0,0,0,1
240,Females,0,0,0,0,0,0,0,0,0,0
241,Males,0,0,0,0,0,0,0,0,0,0
242,Females,0,0,0,0,0,0,0,0,0,0
243,Males,0,0,0,0,0,0,0,0,0,0
244,Females,0,0,0,0,0,0,0,0,0,0
245,Males,0,0,0,0,0,0,0,0,1,4
246,Females,0,0,0,0,0,0,0,1,1,1
247,Males,0,0,0,0,0,0,0,0,0,1
248,Females,0,0,0,0,0,0,0,0,0,2
249,Males,0,0,0,0,0,0,0,0,1,1
250,Females,0,0,0,0,0,0,0,0,0,0
251,Males,0,0,0,0,0,0,0,1,1,6
252,Females,0,0,0,0,0,0,0,0,0,0
253,Males,0,0,0,0,0,0,0,1,2,2
254,Females,0,0,0,0,0,0,0,0,0,2
255,Males,0,0,0,0,0,0,0,1,2,6
256,Females,0,0,0,0,0,0,0,1,1,1
257,Males,0,0,0,0,0,0,0,0,0,0
258,Females,0,0,0,0,0,0,0,0,1,1
259,Males,0,0,0,0,0,0,0,0,0,1
260,Females,0,0,0,0,0,0,0,0,0,3
261,Males,0,0,0,0,0,0,0,1,0,4
262,Females,0,0,0,0,0,0,0,0,1,0
263,Males,0,0,0,0,0,2,2,8,14,22
264,Females,0,0,0,0,0,1,0,1,2,5
265,Males,0,0,0,0,0,0,2,4,11,26
266,Females,0,0,0,0,0,1,3,6,11,14
267,Males,0,0,0,0,0,0,0,0,2,1
268,Females,0,0,0,0,0,0,0,0,1,1
269,Males,0,0,0,0,0,6,11,31,51,53
270,Females,0,0,0,0,1,3,6,24,69,46
271,Males,0,0,0,0,0,3,5,17,27,24
272,Females,0,0,0,0,0,2,5,15,28,26
273,Males,0,0,0,0,0,2,2,9,10,10
274,Females,0,0,0,0,1,0,1,7,18,10
275,Males,0,0,0,0,0,1,4,5,14,19
276,Females,0,0,0,0,0,1,0,2,23,10
277,Males,0,0,0,0,1,0,0,1,1,3
278,Females,0,0,0,0,0,0,2,2,0,8
279,Males,0,3,0,0,2,1,3,9,10,27
280,Females,0,0,1,0,1,0,3,3,7,13
281,Males,0,0,0,0,0,0,1,0,0,1
282,Females,0,0,0,0,0,0,0,0,1,5
283,Males,0,0,0,0,0,0,0,0,0,2
284,Females,0,0,0,0,0,0,0,0,1,1
285,Males,0,0,0,0,0,1,4,1,12,31
286,Females,0,0,0,0,0,1,3,0,4,27
287,Males,0,0,0,0,0,1,1,4,15,16
288,Females,0,0,0,0,0,1,0,4,10,9
289,Males,0,0,0,0,1,1,0,0,0,1
290,Females,0,0,0,0,0,0,0,0,0,0
291,Males,0,0,0,0,1,0,0,1,1,1
292,Females,0,0,0,0,0,0,0,1,0,1
293,Males,0,0,0,0,0,0,0,0,0,5
294,Females,0,0,0,0,0,0,0,0,0,0
295,Males,0,0,0,0,0,1,4,3,24,59
296,Females,0,0,0,0,0,1,5,8,24,49
297,Males,0,0,0,0,0,0,0,0,1,0
298,Females,0,0,0,0,0,0,0,0,0,0
299,Males,0,0,0,0,0,1,4,3,23,59
300,Females,0,0,0,0,0,1,5,8,24,49
301,Males,0,0,0,0,0,0,0,0,0,3
302,Females,0,0,0,0,0,0,0,0,0,5
303,Males,0,0,0,0,0,0,0,1,0,2
304,Females,0,0,0,0,0,1,0,1,0,0
305,Males,0,0,0,0,0,0,0,0,0,0
306,Females,0,0,0,0,1,0,0,0,0,0
307,Males,0,0,0,0,0,1,1,0,1,0
308,Females,0,0,0,0,0,0,0,0,1,1
309,Males,0,0,0,3,11,5,10,3,8,3
310,Females,0,0,1,7,7,4,2,3,3,5
311,Males,0,0,0,0,1,1,4,12,11,23
312,Females,0,0,0,0,0,1,3,11,13,25
313,Males,0,0,0,0,0,0,0,0,2,6
314,Females,0,0,0,0,0,0,0,0,0,3
315,Males,0,0,0,0,0,0,0,0,0,3
316,Females,0,0,0,0,0,0,0,0,1,2
317,Males,0,0,0,0,0,0,0,0,0,0
318,Females,0,0,0,0,0,0,0,0,0,0
319,Males,0,0,0,0,0,0,1,0,1,0
320,Females,0,0,0,0,0,0,1,0,0,0
321,Males,0,0,1,0,1,0,0,1,0,0
322,Females,0,0,0,0,0,1,0,0,0,2
323,Males,1,1,2,2,10,0,5,4,10,8
324,Females,0,0,2,2,3,2,4,7,11,7
325,Males,0,0,0,0,0,0,0,0,0,2
326,Females,0,0,0,0,0,1,13,48,120,252
327,Females,0,0,0,0,0,0,0,0,1,1
328,Females,0,0,0,0,0,0,0,0,1,1
329,Females,0,0,0,0,0,0,12,26,35,45
330,Females,0,0,0,0,0,0,2,0,3,7
331,Females,0,0,0,0,0,0,1,0,1,4
332,Females,0,0,0,0,0,0,1,0,2,3
333,Females,0,1,1,0,0,1,6,11,13,37
334,Females,0,1,1,0,0,1,4,11,13,36
335,Females,0,0,0,0,0,0,2,0,0,1
336,Females,0,0,0,0,0,0,0,0,1,0
337,Males,0,0,0,0,0,0,0,0,1,2
338,Males,0,0,0,0,0,1,1,0,1,4
339,Males,0,0,0,0,0,1,4,4,8,4
340,Males,0,0,0,0,0,0,0,0,0,0
341,Males,0,2,1,0,1,1,2,4,9,17
342,Females,2,1,2,2,2,0,2,3,11,4
343,Males,0,0,0,0,0,0,0,0,0,0
344,Females,0,0,0,0,0,0,0,0,0,0
345,Males,0,0,0,0,0,0,0,1,0,0
346,Females,0,0,0,0,0,0,0,0,0,0
347,Males,0,0,0,0,0,0,0,1,3,16
348,Females,0,0,0,0,0,0,0,3,4,11
349,Males,0,0,0,0,0,0,0,0,0,2
350,Females,0,0,0,0,0,0,0,0,1,0
351,Males,0,0,1,0,0,0,0,0,1,0
352,Females,0,1,0,0,0,0,0,1,1,2
353,Males,0,0,0,0,0,0,1,0,0,0
354,Females,0,0,0,0,0,0,0,0,0,0
355,Males,0,10,21,11,14,10,18,29,51,79
356,Females,0,4,14,10,10,6,14,18,36,33
357,Males,0,0,1,0,0,0,0,0,0,0
358,Females,2,0,1,0,0,0,0,0,0,0
359,Males,0,0,0,0,0,0,0,0,0,3
360,Females,0,0,0,0,0,0,0,2,0,3
361,Males,0,9,9,2,0,0,2,0,1,1
362,Females,0,1,3,1,0,1,0,1,0,0
363,Males,0,0,0,0,0,0,0,0,0,1
364,Females,0,2,0,0,0,0,2,2,0,0
365,Males,1,0,1,0,1,0,0,0,4,4
366,Females,0,0,0,0,0,0,0,0,0,0
367,Males,0,0,0,0,0,0,0,0,0,0
368,Females,0,0,0,0,0,0,0,0,0,0
369,Males,0,0,0,0,0,0,0,0,0,0
370,Females,0,0,0,0,0,0,0,0,0,0
371,Males,0,0,0,0,0,0,0,0,0,0
372,Females,0,0,0,0,0,0,0,0,0,0
373,Males,1,2,0,1,3,3,9,10,20,24
374,Females,1,1,1,0,0,0,1,7,18,21
375,Males,0,0,0,0,1,6,4,4,3,1
376,Females,0,0,0,0,2,1,3,3,4,1
377,Males,0,0,2,3,2,4,10,9,13,30
378,Females,0,0,2,1,2,6,5,6,11,13
379,Males,0,0,0,0,0,0,1,0,1,0
380,Females,0,0,0,0,0,0,0,0,1,0
381,Males,0,0,1,0,1,3,5,5,5,11
382,Females,0,0,0,1,1,1,1,3,2,4
383,Males,0,0,0,1,0,0,1,2,1,5
384,Females,0,0,1,0,1,1,1,0,5,0
385,Males,0,0,1,2,1,1,3,2,6,14
386,Females,0,0,1,0,0,4,3,3,3,9
387,Males,0,0,0,0,0,0,0,0,0,1
388,Females,0,0,0,0,0,0,0,0,0,0
389,Males,0,0,0,0,0,0,0,0,4,7
390,Females,0,0,0,0,0,0,0,2,2,3
391,Males,0,11,10,5,7,14,12,11,12,17
392,Females,2,11,8,7,9,8,4,13,10,17
393,Males,0,5,7,2,3,7,4,3,6,6
394,Females,0,5,4,3,7,2,1,3,1,2
395,Males,0,6,3,3,4,5,6,5,6,11
396,Females,2,5,3,4,2,6,3,10,9,14
397,Males,0,0,0,0,0,1,0,0,0,0
398,Females,0,1,0,0,0,0,0,0,0,0
399,Males,0,0,0,0,0,0,0,0,0,0
400,Females,0,0,0,0,0,0,0,0,0,0
401,Males,0,0,0,0,0,1,2,3,0,0
402,Females,0,0,1,0,0,0,0,0,0,1
403,Males,0,0,0,0,0,0,0,0,0,0
404,Females,0,0,0,0,0,0,0,0,0,0
405,Males,0,0,0,0,0,0,0,0,0,0
406,Females,0,0,0,0,0,0,0,0,0,0
407,Males,0,0,0,0,0,0,0,0,0,0
408,Females,0,0,0,0,0,0,0,0,0,0
409,Males,0,0,0,0,0,0,0,0,0,0
410,Females,0,0,0,0,0,0,0,0,0,0
411,Males,0,0,0,0,0,0,0,0,0,0
412,Females,0,0,0,0,0,0,0,0,0,0
413,Males,0,0,0,0,0,0,0,0,0,0
414,Females,0,0,0,0,0,0,0,0,0,0
415,Males,0,0,0,0,0,0,0,0,0,0
416,Females,0,0,0,0,0,0,0,0,0,0
417,Females,0,0,0,0,0,0,0,0,0,0
418,Males,0,0,0,0,0,0,0,0,0,0
419,Females,0,0,0,0,0,0,0,0,0,0
420,Males,0,0,0,0,0,0,0,0,0,0
421,Females,0,0,0,0,0,0,0,0,0,0
422,Males,0,0,0,0,0,0,1,0,0,0
423,Females,0,0,0,0,0,0,1,0,1,3
424,Males,0,0,0,0,0,0,0,0,0,1
425,Females,0,0,0,0,0,0,0,0,0,1
426,Males,0,0,0,0,0,0,0,0,0,1
427,Females,0,0,0,0,0,0,0,0,0,0
428,Males,0,0,0,0,0,0,0,0,0,0
429,Females,0,0,0,0,0,0,0,0,0,0
430,Males,0,0,0,0,0,0,0,0,0,0
431,Females,0,0,0,0,0,0,0,0,0,0
432,Males,1,0,0,0,0,0,0,0,0,0
433,Females,0,0,0,0,0,0,0,1,0,0
434,Males,0,0,0,0,0,0,0,0,0,2
435,Females,0,0,0,0,0,0,0,0,0,1
436,Females,0,1,0,0,0,0,1,0,0,1
437,Males,0,0,0,0,0,0,0,0,0,0
438,Males,0,0,0,0,0,0,0,0,0,2
439,Females,0,0,0,0,0,0,0,0,0,0
440,Males,0,0,0,0,0,0,0,0,0,0
441,Females,0,0,0,0,0,0,0,0,0,1
442,Males,0,0,0,1,0,0,0,2,1,8
443,Females,0,1,1,1,0,0,3,2,4,2
444,Males,0,0,0,2,0,0,0,0,0,1
445,Females,0,0,0,0,0,0,0,0,2,0
446,Males,0,0,0,0,0,0,0,0,0,0
447,Females,0,0,0,0,0,0,0,0,0,0
448,Males,0,0,0,0,2,0,0,1,1,1
449,Females,0,0,0,0,0,1,1,0,0,2
450,Males,1,1,0,0,1,1,1,0,0,2
451,Females,0,0,0,0,0,0,0,1,0,0
452,Males,1,2,1,1,0,0,0,1,1,2
453,Females,1,0,0,1,1,1,2,2,0,0
454,Males,6,41,50,31,61,62,115,165,318,565
455,Females,8,24,37,32,40,43,104,227,443,705
456,Males,3,38,49,27,57,60,112,161,315,545
457,Females,7,22,36,30,38,41,96,221,436,693
